Question,Answer,Wrong1,Wrong2,Wrong3
 'But only in their dreams can men be truly free. 'Twas always thus and always thus will be',Dead Poets' Society,True Lies,SLC Punk,Lost World: Jurassic Park
 I think you are just jealous 'cause I can ride it better than you. I'm What!!!!,Urban Cowboy,Fight Club,Shall We Dance,"Adventures of Priscilla, Queen of the Desert"
 'I... am an FBI agent',Point Break,Tombstone,Scent of A Woman,Dirty Work
" 1986 - 'That's not a knife... ""That's"" a knife'",Crocodile Dundee,Silence of the Lambs,Shakespeare In Love,On The Waterfront
" 'Oh please don't kill me Mr. Ghostface, I wanna be in the sequel'",Scary Movie,Airplane,Terminator,Chet
 'I spent all day crawling out of a grave',Get Shorty,Me Myself And Irene,Midnight in the Garden of Good and Evil,Throw Momma From The Train
" 'If peeing your pants is cool, consider me Miles Davis'",Billy Madison,It,Austin Powers: The Spy Who Shagged Me,The Negotiator
" 'What do you have to write about? You're not oppressed, you're not gay!'",Orange County,2001: A Space Odyssey,Wild Wild West,Stripes
" 'Guns for show, knives for a pro' 'Is there something you're not telling us Soap''",Lock Stock And Two Smoking Barrells,The Sixth Sense,Deliverance,The Maltese Falcon
 'You're bleeding. That's good! Let's see if we can get any more out of you!',Broken Arrow,Rocky,Die Hard,SLC Punk
" 1990 - 'As far back as I can remember, I always wanted to be a gangster'",Goodfellas,Beavis And Butthead Do America,Canadian Bacon,Chasing Amy
" 'And never say that you'll be right back, because you won't'",Scream,Caddyshack,Crash,The Naked Gun
" 'Our love is God, let's go get a Slushie'",Heathers,Sleepless In Seattle,The Birdcage,The Big Lebowski
" 'To infinity, and beyond!'",Toy Story,Lost World: Jurassic Park,Big Daddy,Of Mice And Men
 'What is the matrix',The Matrix,"Six Days, Seven Nights",In And Out,A Christmas Story
" 1976 - 'Well, you'd be crazy too if you were operating on 20 cups of coffee'",All The President's Men,Pretty In Pink,Godfather,The American President
 'Life moves pretty fast. If you don't stop and look around once in a while you could miss it',Ferris Bueller's Day Off,Moonstruck,Batman Returns,Star Wars: Episode 1 The Phantom Menace
 'Gentlemen...What are your intentions? I'd like to go home',Apollo 13,The Sandlot,Annie Hall,The Haunting
 'I am totally butt crazy in love with Josh',Clueless,Ever After,1776,Grosse Point Blank
 'Is this some radical new therapy',What About Bob,Big Chill,Top Gun,Office Space
" 'No, no, no...not Dumb Bear..'",Dances With Wolves,Gladiator,Boogie Nights,Amadeus
" 'Randy laid there like a slug, his only defense'",A Christmas Story,Natural Born Killers,Waiting For Guffman,Lake Placid
 'Catch you later',Dazed And Confused,The Maltese Falcon,The Doors,Rain Man
 'She's a palefaced mealy mouthed ninny and I hate her!',Gone With The Wind,The Naked Gun,True Romance,To Kill A Mockingbird
" 'If that plane leaves the ground and you're not with him, you'll regret it. Maybe not today. Maybe not tomorrow, but soon and for the rest of your life' 1942",Casablanca,Todd,Tommy Boy,SLC Punk
 'Rolling Stones! Street Fighting Man! G7!',Dirty Work,American History X,Life of Brian,Shall We Dance
 'I'll be back',The Terminator,Steel Magnolias,Going In Style,Scent of A Woman
 'Every dog has his day',Scarface,"Adventures of Priscilla, Queen of the Desert",Happy Gilmore,Shakespeare In Love
" 1984 - 'That's the bedroom, but nothing ever happened in there'",Ghostbusters,Armageddon,Blade Runner,Terminator
" 'Wanting people to listen, you just can't tap them on the shoulder anymore. You have to hit them with a sledgehammer, and then _____ you'll notice you have their strict attention'",Se7en,"History of the World, Part I",In The Heat of the Night,Midnight in the Garden of Good and Evil
" 'Why does Andrew get to get up If he gets up, we'll all get up, it'll be anarchy!'",The Breakfast Club,St. Elmo's Fire,Bachelor Party,Austin Powers: The Spy Who Shagged Me
" 'Hercules, Hercules, Hercules!!!' (Should be easy)",The Nutty Professor,Willie Wonka and the Chocolate Factory,Summer of '42',Wild Wild West
" 1977 - 'The Force will be with you, always'",Star Wars,Duck Soup,Tootsie,Deliverance
 I spent my whole life trying not to be careless. Women and children can be careless. But not men,The Godfather,Life Is Beautiful,Chet,Die Hard
 'I think we're gonna need a bigger boat',Jaws,Return of the Jedi,Glory Daze,Canadian Bacon
" 'She's little and skinny, but she's strong. Her first baby come out sideways and she didn't scream or nothing'","Planes, Trains, And Automobiles",Wayne's World,Ace Ventura: Pet Detective,Crash
 'Which one of you nuts has got any guts',One Flew Over The Cuckoo's Nest,Robin Hood Prince of Thieves,Of Mice And Men,The Birdcage
 'Nimble little mynx isn't she',Ghostbusters,Animal House,The Mask,Big Daddy
" 1939 - 'As God is my witness, I'll never be hungry again!'",Gone With The Wind,Manhattan,The NeverEnding Story,In And Out
" Person 1 says'Cow' Person 2 says 'I've gotta go Julia, we've got cows!'",Twister,Can't Hardly Wait,Taxi Driver,Godfather
 'What an excellent day for an exorcism',The Exorcist,Under Siege,Being John Malkovitch,Batman Returns
 'Does Barry Manilow know you raid his wardrobe',Breakfast Club,Pretty Woman,Star Trek IV: The Voyage Home,Annie Hall
" 'Here's looking at you, kid'",Casablanca,Indiana Jones: Temple of Doom,Young Frankenstein,1776
 'You go up there and get a baby H.I.!',Raising Arizona,As Good As It Gets,National Lampoon's Vacation,Top Gun
 'Do you like Billy Holiday' 'I love him',Clueless,Ferris Beuller's Day Off,Armaggedon,Boogie Nights
 Laurel: 'Not much of a disguise',Men In Black,Throw Momma From The Train,Shanghai Noon,Waiting For Guffman
" 'Would you guys please hurry up, I'm breaking like 20 major laws right now'",Sixteen Candles,Star Wars: Episode I The Phantom Menace,Speed,The Doors
 'Nobody expects the Spanish Inquistion',Sliding Doors,10 Things I Hate About You,The Shining,True Romance
 'You sold my dead bird to a blind kid',Dumb And Dumber,Dead Poet's Society,Ted,Tommy Boy
"  Dicky Fox: 'I don't have all the answers. In life, to be honest, I've failed as much as I've succeeded, but I love my wife, I love my life, and I wish you my kind of success'",Jerry Maguire,My Best Friend's Wedding,A Fish Called Wanda,Life of Brian
 1997 - 'You know the difference between you and me I make this look good',Men In Black,Butch Cassidy and the Sundance Kid,Citizen Kane,Going In Style
 'Have you ever danced with the Devil in the pale moonlight',Batman,On The Waterfront,When Harry Met Sally,Happy Gilmore
 'Sorry... beyond my control',Dangerous Liasions,City Slickers,Back To School,Blade Runner
 'Oh would you two just do it and get it over with!!',Reality Bites,Copycat,Hairspray,In The Heat of the Night
" 'Can I eat' 'I don't know, give it a try'",Breakfast Club,Meet Joe Black,Rocky Horror,Bachelor Party
 'I don't blend in at a family picnic',Batman Forever,Clerks,The Wedding Singer,Summer of '42'
 I'll wait for you. No matter how long it takes. I'll wait for you forever,Legends of the Fall,The Negotiator,Blair Witch Project,Tootsie
 'Among the rugged peaks that crown down upon the Borgo Pass are found crumbling castles of a bygone age',Dracula,Beetlejuice,Major League,Chet
 'You built a time machine... out of a Delorian',Back To The Future,Bill And Ted's Excellent Adventure,The Client,Glory Daze
" 'Mass genocide is the most exhausting activity one can engage in, next to soccer'",Dogma,Neverending Story,"Six Days, Seven Nights",Ace Ventura: Pet Detective
 'With the rich and mighty... always a little patience',The Philadelphia Story,Grease,Pretty In Pink,Of Mice And Men
" 'Im sorry Dave, I'm afraid I can't do that'",2001 A Space Odyssey,Field of Dreams,Moonstruck,The Mask
 'How do you like them apples',Good Will Hunting,The Shawshank Redemption,The Sandlot,The NeverEnding Story
" 'Not even close, bud!",The Breakfast Club,Nothing To Lose,Ever After,Taxi Driver
 'I've been giving myself shock treatments. Up the voltage',Real Genius,Rocky Horror Picture Show,Big Chill,Being John Malkovitch
" 1992 - 'You stick out like a sore thumb around here' 'Oh yeah, you blend''",My Cousin Vinny,Full Metal Jacket,Gladiator,Star Trek IV: The Voyage Home
" 'Come back you fat, bearded b^#ch!'",Spaceballs,Showdown In Little Tokyo,Natural Born Killers,Young Frankenstein
" 'I'm not saying I want to build a summer home here, but the trees are actually quite lovely..'",The Princess Bride,The American President,The Maltese Falcon,National Lampoon's Vacation
" 'You were suppose to fire ""Up""! We both fired up! It's like living with a six year old'",Three Amigos,Star Wars: Episode 1 The Phantom Menace,The Naked Gun,Armaggedon
 'We must be a mile from the Sun',Volunteers,The Haunting,Todd,Shanghai Noon
" 'All my love to you, poppet, you're going to be alright. Bye bye'",Mrs Doubtfire,Grosse Point Blank,American History X,Speed
 Newspaper Article: 'Missing Monkeys Found Shaved',Fight Club,Office Space,Steel Magnolias,The Shining
 'That's just something ugly people say',Liar Liar,Amadeus,"Adventures of Priscilla, Queen of the Desert",Lion King
" 'Well, I've always believed that if done properly, armed robbery doesn't have to be an unpleasant experience. 1991",Thelma And Louise,Lake Placid,Armageddon,A Fish Called Wanda
" 'Well, then kiss me quick before you wake up'",Total Recall,Rain Man,"History of the World, Part I",Citizen Kane
 'Oh Excuse me! Excuse me!! I must be psychotic then!!!',American Beauty,To Kill A Mockingbird,St. Elmo's Fire,When Harry Met Sally
 'I can make spaghetti',The Breakfast Club,SLC Punk,Willie Wonka and the Chocolate Factory,Back To School
 'Talking about love is like dancing about architecture',Playing By Heart,Shall We Dance,Duck Soup,Hairspray
" 'I like history too and maybe when this is all over we can visit the souvenir shop together, but right now...I just wanna find some rockets!'",The Rock,Scent of A Woman,Life Is Beautiful,Rocky Horror
 'I love the smell of napalm in the morning',Apocalypse Now,Shakespeare In Love,Return of the Jedi,The Wedding Singer
 Molly: 'Bye',Ghost,Terminator,Wayne's World,Blair Witch Project
" 'Game over, man, game over!!!' (blubbering)",Aliens,Midnight in the Garden of Good and Evil,Robin Hood Prince of Thieves,Major League
" 'Yeah, but John, if the Pirates of the Caribbean breaks down, the pirates don't eat the tourists'",Jurassic Park,Austin Powers: The Spy Who Shagged Me,Animal House,The Client
 'A Peacock does not an inheritance make',Dangerous Beauty,Wild Wild West,Manhattan,"Six Days, Seven Nights"
 1967 - 'What we've got here... is failure to communicate',Cool Hand Luke,Deliverance,Can't Hardly Wait,Pretty In Pink
" 1994 - 'I may not be a smart man, but I know what love is'",Forrest Gump,Die Hard,Under Siege,Moonstruck
" 'Funny, she doesn't look Druish'",Space Balls,Canadian Bacon,Pretty Woman,The Sandlot
 'You put what? Liquid Heat. On their what? In their jocks',Revenge of the Nerds,Crash,Army of Darkness,Ever After
" 'I come home one day and the house is completly empty, and I mean completly empty. She even took the ice cube trays from the freezer. What kind of sick bh takes the ice cube trays out of the freezer!'",True Lies,The Birdcage,As Good As It Gets,Big Chill
 'I am Jack's smirking revenge',Fight Club,Big Daddy,Ferris Beuller's Day Off,Gladiator
" 'True, you are a good woman, but then, you may just be the AntiChrist'",Tombstone,In And Out,Throw Momma From The Train,Natural Born Killers
 1991 - 'I'm having an old friend for dinner',Silence of the Lambs,Godfather,Star Wars: Episode I The Phantom Menace,The Maltese Falcon
" Joey, have you ever been to a Turkish prison",Airplane,Batman Returns,10 Things I Hate About You,The Naked Gun
 'I'm going to go make it up to that sweet little circus freak',Me Myself And Irene,Annie Hall,Dead Poet's Society,Todd
" 'He thrusts his fists against the post, and still insists he sees the ghost'",It,1776,My Best Friend's Wedding,American History X
 'What are you doing Dave',2001: A Space Odyssey,Dave,Butch Cassidy and the Sundance Kid,Steel Magnolias
 'I see dead people',The Sixth Sense,Boogie Nights,On The Waterfront,"Adventures of Priscilla, Queen of the Desert"
 1976 - 'Take her to the zoo. I hear retards like the zoo',Rocky,Waiting For Guffman,City Slickers,Armageddon
" 'Have you heard one word I have said' 'Yeah, anus'",Beavis And Butthead Do America,The Doors,Copycat,"History of the World, Part I"
" 'There's a check here for 70,000. There's a bunch of 'em, and a summons'",Caddyshack,True Romance,Meet Joe Black,St. Elmo's Fire
" 'Sam, it's nice to meet you'",Sleepless In Seattle,Tommy Boy,Clerks,Willie Wonka and the Chocolate Factory
 Mommy's very angry,Lost World: Jurassic Park,Life of Brian,The Negotiator,Duck Soup

